x_valueCar,y_valueCar,x_valueObject,y_valueObject
111.53999999999999,37.239999999999995,111.53999999999999,42.9
111.53999999999999,37.769999999999996,111.53999999999999,43.33
111.18,36.81,111.18,42.489999999999995
111.28,36.34,111.28,42.59
111.18,36.07,111.18,45.06
111.28,35.97,111.28,42.489999999999995
111.28,36.480000000000004,111.28,42.57
111.18,35.95,111.18,42.489999999999995
111.28,36.36,111.28,43.03
111.18,36.07,111.18,42.489999999999995
111.28,35.97,111.28,42.489999999999995
111.23,35.95,111.23,42.61
111.13,35.54,111.13,42.91
111.23,36.379999999999995,111.23,42.59
111.13,36.05,111.13,42.489999999999995
111.23,36.379999999999995,111.23,42.47
111.25,35.97,111.25,43.0
111.13,35.97,111.13,42.489999999999995
111.23,35.95,111.23,42.91
111.13,36.07,111.13,43.79
111.18,37.239999999999995,111.18,42.489999999999995
111.25,35.97,111.25,42.59
111.16,36.09,111.16,42.91
111.26,35.97,111.26,44.22
111.28,36.09,111.28,44.629999999999995
111.16,35.97,111.16,42.9
111.28,35.95,111.28,44.32
111.18,36.93,111.18,44.36
111.23,35.64,111.23,43.89
111.16,36.82,111.16,43.79
111.28,36.379999999999995,111.28,43.91
111.18,36.5,111.18,43.79
111.28,35.980000000000004,111.28,42.489999999999995
111.28,36.519999999999996,111.28,43.0
111.16,36.84,111.16,42.9
111.28,36.82,111.28,43.89
111.18,35.66,111.18,42.91
111.25,35.55,111.25,42.91
111.3,35.55,111.3,44.3
111.16,35.55,111.16,42.9
111.28,35.55,111.28,44.2
111.18,36.93,111.18,43.769999999999996
111.16,36.84,111.16,43.34
111.28,35.55,111.28,43.879999999999995
111.16,36.0,111.16,140.26
111.28,35.14,111.28,42.91
111.28,35.230000000000004,111.28,44.3
111.18,35.980000000000004,111.18,138.47
111.23,35.129999999999995,111.23,44.2
111.28,35.14,111.28,44.2
111.28,34.83,111.28,43.0
111.16,36.0,111.16,43.79
111.26,35.14,111.26,44.730000000000004
111.18,34.83,111.18,42.9
111.28,35.14,111.28,44.629999999999995
111.28,35.25,111.28,44.32
111.13,35.14,111.13,43.79
111.25,34.71,111.25,43.79
111.18,34.83,111.18,42.91
111.25,34.71,111.25,42.489999999999995
111.25,35.25,111.25,42.61
111.13,35.14,111.13,43.79
111.28,35.129999999999995,111.28,42.5
111.13,35.230000000000004,111.13,43.79
111.13,35.14,111.13,43.36
111.25,35.14,111.25,43.89
111.13,35.230000000000004,111.13,44.22
111.23,35.129999999999995,111.23,43.379999999999995
111.53999999999999,35.66,111.53999999999999,43.91
111.13,35.55,111.13,43.79
111.55,35.55,111.55,43.91
111.13,34.78,111.13,42.95
111.5,34.66,111.5,42.91
111.25,34.370000000000005,111.25,43.91
111.13,35.09,111.13,43.79
111.23,34.25,111.23,43.79
111.13,34.35,111.13,43.79
111.23,34.68,111.23,42.91
111.5,34.68,111.5,43.89
111.38,34.730000000000004,111.38,44.22
111.23,34.629999999999995,111.23,42.9
111.38,35.19,111.38,42.59
111.23,35.09,111.23,43.36
111.5,34.629999999999995,111.5,42.59
111.13,35.5,111.13,43.79
111.23,35.06,111.23,43.79
111.4,35.16,111.4,42.59
111.4,35.5,111.4,43.79
111.21000000000001,35.04,111.21000000000001,43.019999999999996
111.11,35.16,111.11,42.9
111.23,35.91,111.23,42.489999999999995
111.23,36.019999999999996,111.23,43.36
111.38,36.31,111.38,42.489999999999995
111.5,35.45,111.5,42.489999999999995
111.16,35.55,111.16,42.489999999999995
111.23,36.31,111.23,42.489999999999995
111.23,36.41,111.23,42.61
111.11,36.31,111.11,42.489999999999995
111.23,36.739999999999995,111.23,42.59
111.11,36.43,111.11,42.489999999999995
